nodes,arrival_rate,collision_rate,delay,queue_variance,throughput_value,protocol_name,optimal_protocol_id
10,20,0.7159090909090909,0.011722732378413776,3.808661905090324,141.0,CSMACaProtocol,2.0
10,20,0.7241379310344828,0.08309689114828334,4.242943122983465,86.0,CSMACaProtocol,2.0
10,20,0.4842105263157895,0.0763232809575231,3.556919387259756,184.0,CSMACaProtocol,2.0
20,1,1.6666666666666667,0.034807070918091446,4.152329188285453,188.0,SlottedAlohaProtocol,2.0
20,1,3.2941176470588234,0.08975616227434075,3.8322653532493836,176.0,SlottedAlohaProtocol,2.0
20,1,4.153846153846154,0.015288300675879017,3.4380946734554736,139.0,SlottedAlohaProtocol,2.0
20,1,0.0,0.02984144831810457,4.075623372697592,247.0,CSMACaProtocol,2.0
20,1,1.1875,0.048348161171933524,0.7525548388433319,248.0,CSMACaProtocol,2.0
20,1,1.4666666666666666,0.010377649895683601,4.723088057850134,171.0,CSMACaProtocol,2.0
20,5,4.6521739130434785,0.041234771313964136,4.423387260697638,172.0,SlottedAlohaProtocol,2.0
20,5,3.680672268907563,0.03331773926682805,2.937210183108345,135.0,SlottedAlohaProtocol,2.0
20,5,4.8125,0.0560351207995343,3.114843377180718,249.0,SlottedAlohaProtocol,2.0
20,5,1.6952380952380952,0.02720839060464072,2.4530851101430278,593.0,CSMACaProtocol,2.0
20,5,1.9791666666666667,0.09727769288605076,4.1703317947918075,708.0,CSMACaProtocol,2.0
20,5,1.7251908396946565,0.036927170144140146,3.7147325391031893,443.0,CSMACaProtocol,2.0
20,10,2.263803680981595,0.07820617440352444,4.95739653217503,84.0,SlottedAlohaProtocol,2.0
20,10,2.3060109289617485,0.0781975103199793,0.7345994951398389,73.0,SlottedAlohaProtocol,2.0
20,10,2.1726190476190474,0.06659561543183289,1.8863567611900713,50.0,SlottedAlohaProtocol,2.0
20,10,1.0,0.04276240830065847,1.4749828271572827,422.0,CSMACaProtocol,2.0
20,10,1.0376344086021505,0.07882406368749749,0.8809438709867452,332.0,CSMACaProtocol,2.0
20,10,0.9178082191780822,0.04607454749279334,3.6784233243236972,230.0,CSMACaProtocol,2.0
20,15,1.28,0.03886039025870536,1.417956241758053,42.0,SlottedAlohaProtocol,2.0
20,15,1.2803347280334727,0.09081182544733994,3.8694805860881187,50.0,SlottedAlohaProtocol,2.0
20,15,1.3781512605042017,0.022477019225193004,2.759715079811926,6.0,SlottedAlohaProtocol,2.0
20,15,0.31,0.09092103752682545,4.522132984309177,76.0,CSMACaProtocol,2.0
20,15,0.29508196721311475,0.07379365326768408,1.7602099181815325,59.0,CSMACaProtocol,2.0
20,15,0.34563758389261745,0.0500730593975422,2.1558707582428456,98.0,CSMACaProtocol,2.0
20,20,0.6265060240963856,0.022636629013211375,4.040057055092235,2.0,SlottedAlohaProtocol,2.0
20,20,0.6384364820846905,0.02306604250421873,3.4916504579900933,43.0,SlottedAlohaProtocol,2.0
20,20,0.7932203389830509,0.071393733203921,1.8851933472693316,5.0,SlottedAlohaProtocol,2.0
